#nombre de sequence par taxon = 100 ( = taille echantillon )
# kmer = ##_##_##
# niveau = Eucaryotes
#######################
200	100	78.9
200	150	88.3
200	200	89.3
200	250	30.5
200	300	42.8
1000	100	29.6
1000	150	31.2
1000	200	32.1
1000	250	46.8
1000	300	48.6
complete	100	19.8
complete	150	16.2
complete	200	18.0
complete	250	29.8
complete	300	27.9
200	100	79.0
200	150	86.8
200	200	88.8
200	250	24.7
200	300	33.4
1000	100	29.2
1000	150	31.0
1000	200	30.8
1000	250	46.9
1000	300	47.7
complete	100	18.6
complete	150	16.2
complete	200	16.8
complete	250	29.2
complete	300	27.5
200	100	78.5
200	150	86.3
200	200	89.2
200	250	24.6
200	300	30.4
1000	100	29.4
1000	150	31.8
1000	200	31.7
1000	250	48.3
1000	300	49.1
complete	100	19.0
complete	150	15.0
complete	200	15.3
complete	250	29.5
complete	300	27.8
200	100	78.2
200	150	84.6
200	200	88.4
200	250	24.2
200	300	33.9
1000	100	32.7
1000	150	32.2
1000	200	34.8
1000	250	48.9
1000	300	50.3
complete	100	18.3
complete	150	16.0
complete	200	18.7
complete	250	30.3
complete	300	28.4
200	100	77.6
200	150	87.3
200	200	87.4
200	250	25.6
200	300	34.8
1000	100	28.1
1000	150	29.7
1000	200	32.0
1000	250	48.1
1000	300	49.6
complete	100	18.6
complete	150	16.8
complete	200	16.9
complete	250	29.2
complete	300	29.2
200	100	79.3
200	150	89.5
200	200	89.9
200	250	25.3
200	300	34.9
1000	100	29.7
1000	150	30.9
1000	200	30.9
1000	250	48.4
1000	300	50.3
complete	100	19.4
complete	150	15.5
complete	200	17.1
complete	250	28.8
complete	300	29.7
200	100	77.8
200	150	85.6
200	200	88.4
200	250	26.4
200	300	38.7
